x,y
142.57019,143.1138
136.48383,143.52872
133.09521,143.56335
112.61902,143.56335
102.38098,148.68237
266.19043,148.68237
255.9524,143.56335
222.67859,143.56335
214.87167,143.55266
202.02994,143.14534
194.49469,142.19373
190.28839,141.1616
186.73904,139.71388
183.80597,137.7808
181.44861,135.29268
179.62628,132.17976
178.29839,128.37231
177.42429,123.80063
176.8311,115.474915
177.31816,100.9093
178.02686,91.85303
189.30481,-48.460938
191.47003,-73.261314
194.46152,-104.820114
196.34003,-117.04636
197.71643,-121.64077
199.36777,-123.97143
201.45137,-124.770615
202.7323,-124.8067
203.42569,-124.78784
204.75674,-124.382385
206.1779,-123.2133
207.86359,-120.922424
211.18216,-114.85137
218.23402,-99.24068
236.33261,-56.33132
283.99655,57.68869
322.5,148.68237
344.35748,88.22205
380.10992,-12.124752
400.30557,-67.70265
410.9427,-95.38287
417.24738,-110.2139
420.7384,-117.458145
423.61755,-122.35968
425.3554,-124.377945
426.3349,-125.00414
426.76062,-125.0567
427.7448,-125.01085
429.40796,-124.00592
430.86414,-121.08661
432.29013,-115.34349
434.7082,-100.08194
439.50262,-60.739555
443.11755,-29.84436
457.3849,98.141846
457.7294,101.50901
457.9396,107.716446
457.59848,113.31648
456.73193,118.3368
455.36566,122.805016
453.52557,126.74881
451.23743,130.19583
448.52704,133.1737
445.42023,135.7101
441.94287,137.83267
438.1208,139.56906
433.97977,140.94693
427.25854,142.43817
417.37277,143.37454
412.08337,143.44336
389.09766,143.53333
378.75952,148.67236
477.50122,148.67236
639.88086,148.68237
629.6428,143.56335
581.53174,143.56335
578.16614,143.52805
572.52,143.05417
568.41943,142.00601
566.58417,140.75917
565.94666,139.71024
565.8478,138.46126
566.3213,136.99966
568.0967,134.4117
572.8838,130.06227
580.5692,124.636505
585.72095,121.4375
588.36584,119.66618
598.7429,111.77788
621.8999,93.436745
658.5493,63.922203
687.60925,40.644634
693.521,36.223267
698.9993,32.568954
705.274,29.091015
708.6684,27.90202
711.5394,27.744549
714.0294,28.677654
716.28064,30.760387
718.4354,34.0518
719.5261,36.223267
725.7915,53.34448
736.23236,84.504486
743.7047,109.690445
746.93225,122.81376
747.9623,128.55621
748.0508,130.22583
747.9656,132.3491
746.9503,135.8516
744.9346,138.55179
741.9332,140.55035
737.96075,141.9479
733.0322,142.8451
723.9937,143.50398
716.5867,143.55334
716.5867,143.55334
